"","reportdate","overall","ownership","locationid","location_start_2025","location_end_2025","good","rating"
"1",2014-10-10,"Good","For-profit","1-436991296",19176,22272,1,"Good"
"2",2014-10-24,"Good","For-profit","1-365223696",19022,20361,1,"Good"
"3",2014-10-24,"Good","Third sector","1-750158902",19541,23720,1,"Good"
"4",2014-10-28,"Good","Third sector","1-120702093",18653,22725,1,"Good"
"5",2014-10-28,"Good","For-profit","1-256936554",18791,21899,1,"Good"
"6",2014-10-28,"Good","For-profit","1-8026511168",21899,NA,1,"Good"
"7",2014-10-31,"Requires improvement","For-profit","1-108384875",18646,20593,0,"Requires improvement"
"8",2014-10-31,"Good","Third sector","1-636282583",19442,21028,1,"Good"
"9",2014-11-04,"Good","Local Authority","1-456397816",19234,19975,1,"Good"
"10",2014-11-07,"Good","For-profit","1-138196422",18653,20564,1,"Good"
"11",2014-11-07,"Good","For-profit","1-203739848",18723,NA,1,"Good"
"12",2014-11-07,"Good","Local Authority","1-251574140",18784,22104,1,"Good"
"13",2014-11-07,"Good","Local Authority","1-9177663474",22104,NA,1,"Good"
"14",2014-11-11,"Good","Local Authority","1-1037849403",19669,NA,1,"Good"
"15",2014-11-11,"Good","For-profit","1-117663302",18641,21851,1,"Good"
"16",2014-11-11,"Good","For-profit","1-1229050411",19796,20338,1,"Good"
"17",2014-11-11,"Requires improvement","For-profit","1-123519589",18612,22924,0,"Requires improvement"
"18",2014-11-11,"Requires improvement","For-profit","1-13885484745",22924,NA,0,"Requires improvement"
"19",2014-11-14,"Good","Third sector","1-1041032166",19683,22530,1,"Good"
"20",2014-11-14,"Good","For-profit","1-301258810",18872,20299,1,"Good"
"21",2014-11-18,"Good","Third sector","1-119188478",18688,22453,1,"Good"
"22",2014-11-18,"Good","For-profit","1-121979814",18584,20299,1,"Good"
"23",2014-11-21,"Requires improvement","Third sector","1-119177374",18688,22581,0,"Requires improvement"
"24",2014-11-21,"Good","For-profit","1-125498134",18581,NA,1,"Good"
"25",2014-11-21,"Good","Third sector","1-126755895",18602,20376,1,"Good"
"26",2014-11-21,"Requires improvement","Third sector","1-139656931",18611,23496,0,"Requires improvement"
"27",2014-11-21,"Good","For-profit","1-1430040755",19912,20299,1,"Good"
"28",2014-11-21,"Good","For-profit","1-144083791",18645,NA,1,"Good"
"29",2014-11-21,"Good","For-profit","1-148228226",18672,NA,1,"Good"
"30",2014-11-21,"Good","For-profit","1-438983679",19171,20395,1,"Good"
"31",2014-11-28,"Good","For-profit","1-122285692",18604,21124,1,"Good"
"32",2014-11-28,"Good","For-profit","1-528827568",19347,20475,1,"Good"
"33",2014-11-28,"Good","For-profit","1-620599082",19404,NA,1,"Good"
"34",2014-12-02,"Good","For-profit","1-1200663840",19768,20712,1,"Good"
"35",2014-12-02,"Good","Third sector","1-123154158",18609,NA,1,"Good"
"36",2014-12-02,"Good","For-profit","1-128318673",18599,20590,1,"Good"
"37",2014-12-02,"Requires improvement","For-profit","1-386335444",19085,20193,0,"Requires improvement"
"38",2014-12-05,"Good","Third sector","1-120702273",18653,NA,1,"Good"
"39",2014-12-05,"Good","For-profit","1-277531070",18826,NA,1,"Good"
"40",2014-12-09,"Good","Third sector","1-120089180",18639,NA,1,"Good"
"41",2014-12-09,"Good","Third sector","1-124666019",18627,20433,1,"Good"
"42",2014-12-09,"Good","For-profit","1-156230649",18655,NA,1,"Good"
"43",2014-12-09,"Good","For-profit","1-401258911",19094,22313,1,"Good"
"44",2014-12-09,"Good","For-profit","1-426136631",19137,NA,1,"Good"
"45",2014-12-09,"Requires improvement","For-profit","1-574893440",19382,21308,0,"Requires improvement"
"46",2014-12-09,"Good","For-profit","1-9672527284",22245,NA,1,"Good"
"47",2014-12-11,"Good","For-profit","1-416540080",19165,NA,1,"Good"
"48",2014-12-11,"Good","For-profit","1-418750924",19127,22313,1,"Good"
"49",2014-12-11,"Good","For-profit","1-9660020339",22245,22655,1,"Good"
"50",2014-12-12,"Good","For-profit","1-11463373101",22589,23152,1,"Good"
"51",2014-12-12,"Good","For-profit","1-557276607",19406,22589,1,"Good"
"52",2014-12-14,"Requires improvement","For-profit","1-644839566",19423,21635,0,"Requires improvement"
"53",2014-12-15,"Good","For-profit","1-115981889",18603,NA,1,"Good"
"54",2014-12-15,"Good","Local Authority","1-120437786",18693,NA,1,"Good"
"55",2014-12-15,"Good","For-profit","1-126673136",18592,23117,1,"Good"
"56",2014-12-15,"Good","For-profit","1-750226194",19532,20879,1,"Good"
"57",2014-12-16,"Good","For-profit","1-112329822",18841,20677,1,"Good"
"58",2014-12-16,"Good","For-profit","1-1326680856",19820,NA,1,"Good"
"59",2014-12-16,"Good","For-profit","1-475352916",19278,20130,1,"Good"
"60",2014-12-17,"Inadequate","For-profit","1-119514078",18550,21074,0,"Inadequate"
"61",2014-12-17,"Good","Third sector","1-122278946",18625,20633,1,"Good"
"62",2014-12-17,"Good","For-profit","1-125498269",18581,NA,1,"Good"
"63",2014-12-17,"Inadequate","For-profit","1-134633478",18571,20075,0,"Inadequate"
"64",2014-12-17,"Good","For-profit","1-1514178771",19919,20628,1,"Good"
"65",2014-12-18,"Good","For-profit","1-255179431",18835,20276,1,"Good"
"66",2014-12-19,"Requires improvement","Local Authority","1-143053513",18619,20265,0,"Requires improvement"
"67",2014-12-19,"Good","For-profit","1-239748760",18782,20797,1,"Good"
"68",2014-12-22,"Good","For-profit","1-140438130",18676,NA,1,"Good"
"69",2014-12-22,"Good","For-profit","1-432932856",19157,20374,1,"Good"
"70",2014-12-22,"Good","For-profit","1-499267377",19305,20299,1,"Good"
"71",2014-12-23,"Requires improvement","For-profit","1-528589352",19345,NA,0,"Requires improvement"
"72",2014-12-24,"Requires improvement","Third sector","1-12002987761",22675,NA,0,"Requires improvement"
"73",2014-12-24,"Good","For-profit","1-253641853",18785,NA,1,"Good"
"74",2014-12-24,"Requires improvement","Third sector","1-718142139",19498,22675,0,"Requires improvement"
"75",2014-12-29,"Good","For-profit","1-123050589",18626,NA,1,"Good"
"76",2014-12-29,"Requires improvement","For-profit","1-137989188",18665,NA,0,"Requires improvement"
"77",2014-12-29,"Good","For-profit","1-1516369525",19907,20768,1,"Good"
"78",2014-12-29,"Good","For-profit","1-270416489",18824,20942,1,"Good"
"79",2014-12-30,"Good","For-profit","1-127465130",18612,20308,1,"Good"
"80",2014-12-31,"Requires improvement","For-profit","1-121100869",18583,22525,0,"Requires improvement"
"81",2014-12-31,"Good","For-profit","1-410398064",19127,NA,1,"Good"
"82",2015-01-01,"Good","For-profit","1-347806712",18979,NA,1,"Good"
"83",2015-01-01,"Good","For-profit","1-378893380",19046,20905,1,"Good"
"84",2015-01-02,"Good","For-profit","1-119598068",18581,NA,1,"Good"
"85",2015-01-05,"Good","Local Authority","1-131631138",18625,20061,1,"Good"
"86",2015-01-05,"Requires improvement","For-profit","1-327065600",18928,NA,0,"Requires improvement"
"87",2015-01-06,"Requires improvement","For-profit","1-126016558",18672,NA,0,"Requires improvement"
"88",2015-01-06,"Good","Local Authority","1-741355865",19554,20772,1,"Good"
"89",2015-01-07,"Outstanding","For-profit","1-407814605",19117,NA,1,"Outstanding"
"90",2015-01-07,"Outstanding","Third sector","1-859059525",19561,20744,1,"Outstanding"
"91",2015-01-08,"Requires improvement","Third sector","1-122688964",18602,20668,0,"Requires improvement"
"92",2015-01-09,"Requires improvement","For-profit","1-1296601844",19796,20122,0,"Requires improvement"
"93",2015-01-09,"Good","Third sector","1-197739851",18728,21335,1,"Good"
"94",2015-01-09,"Good","For-profit","1-824968782",19557,20353,1,"Good"
"95",2015-01-12,"Good","For-profit","1-135580937",18536,20633,1,"Good"
"96",2015-01-12,"Good","Third sector","1-1739019125",20023,21706,1,"Good"
"97",2015-01-12,"Requires improvement","For-profit","1-343721438",18963,NA,0,"Requires improvement"
"98",2015-01-12,"Requires improvement","For-profit","1-800497513",19540,NA,0,"Requires improvement"
"99",2015-01-13,"Good","For-profit","1-1172476028",19767,23576,1,"Good"
"100",2015-01-13,"Good","For-profit","1-353866580",18996,20520,1,"Good"
"101",2015-01-14,"Good","For-profit","1-126830843",18605,21104,1,"Good"
"102",2015-01-14,"Good","For-profit","1-1268545089",19787,21077,1,"Good"
"103",2015-01-14,"Requires improvement","For-profit","1-272007245",18900,20723,0,"Requires improvement"
"104",2015-01-15,"Requires improvement","For-profit","1-1440086664",19870,20895,0,"Requires improvement"
"105",2015-01-16,"Good","Local Authority","1-119926979",18631,NA,1,"Good"
"106",2015-01-16,"Good","For-profit","1-124525558",18640,NA,1,"Good"
"107",2015-01-16,"Good","Third sector","1-142048041",18626,20479,1,"Good"
"108",2015-01-16,"Good","For-profit","1-15183928995",23197,NA,1,"Good"
"109",2015-01-16,"Good","For-profit","1-283533399",18832,23198,1,"Good"
"110",2015-01-16,"Good","For-profit","1-395582550",19080,NA,1,"Good"
"111",2015-01-16,"Good","Third sector","1-578264162",19368,NA,1,"Good"
"112",2015-01-19,"Requires improvement","For-profit","1-126587719",18637,NA,0,"Requires improvement"
"113",2015-01-19,"Good","Third sector","1-130618228",18602,NA,1,"Good"
"114",2015-01-19,"Good","Third sector","1-261437952",18792,NA,1,"Good"
"115",2015-01-19,"Good","For-profit","1-594305875",19390,20495,1,"Good"
"116",2015-01-20,"Good","For-profit","1-124585192",18602,NA,1,"Good"
"117",2015-01-20,"Requires improvement","Third sector","1-129855543",18597,NA,0,"Requires improvement"
"118",2015-01-20,"Good","For-profit","1-132426442",18633,NA,1,"Good"
"119",2015-01-20,"Good","For-profit","1-133367073",18581,NA,1,"Good"
"120",2015-01-20,"Good","For-profit","1-135914733",18595,21062,1,"Good"
"121",2015-01-20,"Good","Local Authority","1-143044056",18619,23624,1,"Good"
"122",2015-01-20,"Good","For-profit","1-225590703",18756,20493,1,"Good"
"123",2015-01-20,"Requires improvement","For-profit","1-450245368",19262,NA,0,"Requires improvement"
"124",2015-01-20,"Requires improvement","Local Authority","1-484155516",19264,20633,0,"Requires improvement"
"125",2015-01-20,"Requires improvement","For-profit","1-574893440",19382,21308,0,"Requires improvement"
"126",2015-01-21,"Good","For-profit","1-10852066419",22406,22473,1,"Good"
"127",2015-01-21,"Good","For-profit","1-126103025",18708,20130,1,"Good"
"128",2015-01-21,"Good","For-profit","1-320001951",18917,NA,1,"Good"
"129",2015-01-21,"Good","For-profit","1-523796220",19313,22411,1,"Good"
"130",2015-01-21,"Requires improvement","For-profit","1-553999283",19341,20237,0,"Requires improvement"
"131",2015-01-21,"Good","For-profit","1-717577712",19514,21644,1,"Good"
"132",2015-01-22,"Good","For-profit","1-123837930",18645,NA,1,"Good"
"133",2015-01-22,"Requires improvement","For-profit","1-633101514",19431,20314,0,"Requires improvement"
"134",2015-01-23,"Inadequate","Third sector","1-112844675",18637,20961,0,"Inadequate"
"135",2015-01-23,"Good","For-profit","1-1130344471",19705,21775,1,"Good"
"136",2015-01-23,"Good","For-profit","1-123847865",18637,NA,1,"Good"
"137",2015-01-23,"Requires improvement","For-profit","1-125650637",18627,NA,0,"Requires improvement"
"138",2015-01-23,"Good","Local Authority","1-144189625",18640,NA,1,"Good"
"139",2015-01-23,"Good","For-profit","1-1696175796",20005,21945,1,"Good"
"140",2015-01-23,"Good","For-profit","1-288087520",18840,21973,1,"Good"
"141",2015-01-23,"Good","Third sector","1-298516683",18869,NA,1,"Good"
"142",2015-01-23,"Outstanding","For-profit","1-335364572",18960,22313,1,"Outstanding"
"143",2015-01-23,"Good","For-profit","1-7306299227",21775,22425,1,"Good"
"144",2015-01-23,"Good","For-profit","1-8283740282",21945,NA,1,"Good"
"145",2015-01-23,"Good","For-profit","1-8413087962",21973,22818,1,"Good"
"146",2015-01-23,"Outstanding","For-profit","1-9660020023",22245,22524,1,"Outstanding"
"147",2015-01-26,"Good","For-profit","1-1302980242",19802,20222,1,"Good"
"148",2015-01-26,"Requires improvement","For-profit","1-203248535",18725,20362,0,"Requires improvement"
"149",2015-01-27,"Good","Third sector","1-110212891",18598,NA,1,"Good"
"150",2015-01-27,"Good","For-profit","1-121927029",18725,21390,1,"Good"
"151",2015-01-27,"Good","For-profit","1-1392264721",19849,NA,1,"Good"
"152",2015-01-27,"Good","Third sector","1-169593433",18682,NA,1,"Good"
"153",2015-01-27,"Good","For-profit","1-389128418",19058,20569,1,"Good"
"154",2015-01-28,"Good","For-profit","1-121958603",18595,21867,1,"Good"
"155",2015-01-28,"Requires improvement","Third sector","1-132653748",18626,20100,0,"Requires improvement"
"156",2015-01-28,"Good","Third sector","1-140482492",18639,21934,1,"Good"
"157",2015-01-28,"Good","For-profit","1-353323694",18983,20474,1,"Good"
"158",2015-01-28,"Good","For-profit","1-7808071054",21859,NA,1,"Good"
"159",2015-01-28,"Good","For-profit","1-8210563943",21931,NA,1,"Good"
"160",2015-01-29,"Good","For-profit","1-158772750",18680,20165,1,"Good"
"161",2015-01-30,"Good","Local Authority","1-120714978",18585,NA,1,"Good"
"162",2015-01-30,"Requires improvement","For-profit","1-229159991",18725,23715,0,"Requires improvement"
"163",2015-01-30,"Good","Local Authority","1-982233179",19631,NA,1,"Good"
"164",2015-02-01,"Good","Third sector","1-124419826",18639,NA,1,"Good"
"165",2015-02-02,"Good","For-profit","1-119141337",18606,22433,1,"Good"
"166",2015-02-02,"Requires improvement","Local Authority","1-134353743",18645,NA,0,"Requires improvement"
"167",2015-02-02,"Requires improvement","For-profit","1-387607368",19059,21644,0,"Requires improvement"
"168",2015-02-03,"Good","For-profit","1-368270426",19019,20984,1,"Good"
"169",2015-02-04,"Good","For-profit","1-12783599145",22859,23422,1,"Good"
"170",2015-02-04,"Good","Third sector","1-133394328",18627,NA,1,"Good"
"171",2015-02-04,"Good","For-profit","1-357800785",19004,22859,1,"Good"
"172",2015-02-04,"Requires improvement","For-profit","1-369213530",19050,21598,0,"Requires improvement"
"173",2015-02-04,"Requires improvement","For-profit","1-415220690",19110,NA,0,"Requires improvement"
"174",2015-02-04,"Good","For-profit","1-455411117",19207,NA,1,"Good"
"175",2015-02-04,"Good","For-profit","1-459102595",19215,20386,1,"Good"
"176",2015-02-05,"Good","For-profit","1-846201309",19569,20132,1,"Good"
"177",2015-02-06,"Requires improvement","For-profit","1-126005236",18639,NA,0,"Requires improvement"
"178",2015-02-06,"Inadequate","For-profit","1-149789244",18613,20209,0,"Inadequate"
"179",2015-02-06,"Good","Third sector","1-252257173",18786,NA,1,"Good"
"180",2015-02-06,"Outstanding","For-profit","1-266663163",18815,NA,1,"Outstanding"
"181",2015-02-06,"Inadequate","For-profit","1-306248340",18878,20920,0,"Inadequate"
"182",2015-02-06,"Good","For-profit","1-549006793",19345,NA,1,"Good"
"183",2015-02-09,"Good","For-profit","1-630911628",19422,20625,1,"Good"
"184",2015-02-10,"Good","For-profit","1-551387037",19372,20747,1,"Good"
"185",2015-02-11,"Inadequate","Third sector","1-112989020",18603,NA,0,"Inadequate"
"186",2015-02-11,"Good","For-profit","1-121985541",18584,20299,1,"Good"
"187",2015-02-11,"Good","For-profit","1-452823580",19229,NA,1,"Good"
"188",2015-02-11,"Good","For-profit","1-794196004",19535,20390,1,"Good"
"189",2015-02-12,"Good","For-profit","1-145531838",18620,NA,1,"Good"
"190",2015-02-12,"Good","For-profit","1-165894739",18687,20465,1,"Good"
"191",2015-02-12,"Good","For-profit","1-216915492",18794,NA,1,"Good"
"192",2015-02-12,"Good","For-profit","1-220089519",18718,20983,1,"Good"
"193",2015-02-12,"Good","For-profit","1-245534727",18771,21049,1,"Good"
"194",2015-02-12,"Good","For-profit","1-451565264",19199,20299,1,"Good"
"195",2015-02-13,"Good","For-profit","1-118877200",18655,NA,1,"Good"
"196",2015-02-13,"Good","For-profit","1-120728243",18610,22313,1,"Good"
"197",2015-02-13,"Good","Local Authority","1-126473607",18676,NA,1,"Good"
"198",2015-02-13,"Good","For-profit","1-9649169367",22245,NA,1,"Good"
"199",2015-02-16,"Good","For-profit","1-120237921",18647,20320,1,"Good"
"200",2015-02-16,"Good","For-profit","1-121091141",18583,21679,1,"Good"
"201",2015-02-16,"Good","For-profit","1-125498186",18581,NA,1,"Good"
"202",2015-02-16,"Good","For-profit","1-126750005",18605,21816,1,"Good"
"203",2015-02-16,"Inadequate","For-profit","1-222812083",18763,NA,0,"Inadequate"
"204",2015-02-16,"Good","For-profit","1-6810280032",21672,23201,1,"Good"
"205",2015-02-17,"Good","Local Authority","1-10206782625",22294,NA,1,"Good"
"206",2015-02-17,"Good","Local Authority","1-122824258",18654,20858,1,"Good"
"207",2015-02-17,"Requires improvement","Local Authority","1-161759613",18682,NA,0,"Requires improvement"
"208",2015-02-17,"Good","For-profit","1-446687835",19194,21864,1,"Good"
"209",2015-02-17,"Good","For-profit","1-517368801",19309,20347,1,"Good"
"210",2015-02-17,"Good","For-profit","1-639152442",19416,20990,1,"Good"
"211",2015-02-17,"Good","For-profit","1-6659739258",21861,22838,1,"Good"
"212",2015-02-17,"Good","Local Authority","1-681445746",19465,22294,1,"Good"
"213",2015-02-17,"Good","For-profit","1-7766675171",21861,NA,1,"Good"
"214",2015-02-18,"Inadequate","For-profit","1-119108618",18647,20436,0,"Inadequate"
"215",2015-02-18,"Good","For-profit","1-1492429241",19907,21755,1,"Good"
"216",2015-02-18,"Good","For-profit","1-165846431",18702,20376,1,"Good"
"217",2015-02-18,"Good","Third sector","1-264069944",18815,20934,1,"Good"
"218",2015-02-18,"Good","For-profit","1-7020387845",21755,NA,1,"Good"
"219",2015-02-19,"Good","Third sector","1-134890953",18648,NA,1,"Good"
"220",2015-02-20,"Good","Local Authority","1-137189807",18673,NA,1,"Good"
"221",2015-02-20,"Good","Third sector","1-1739394736",20019,NA,1,"Good"
"222",2015-02-20,"Outstanding","For-profit","1-1788626551",20052,NA,1,"Outstanding"
"223",2015-02-20,"Requires improvement","For-profit","1-724566805",19499,20515,0,"Requires improvement"
"224",2015-02-20,"Good","Third sector","1-742604137",19512,NA,1,"Good"
"225",2015-02-23,"Requires improvement","Third sector","1-1079258837",19695,21115,0,"Requires improvement"
"226",2015-02-23,"Requires improvement","Third sector","1-121773282",18701,23685,0,"Requires improvement"
"227",2015-02-23,"Requires improvement","For-profit","1-126673016",18592,20786,0,"Requires improvement"
"228",2015-02-23,"Good","For-profit","1-135012480",18591,NA,1,"Good"
"229",2015-02-23,"Good","Local Authority","1-447638105",19229,23603,1,"Good"
"230",2015-02-24,"Good","For-profit","1-1053843308",19712,20886,1,"Good"
"231",2015-02-24,"Good","For-profit","1-125707695",18591,20228,1,"Good"
"232",2015-02-24,"Requires improvement","Third sector","1-1549154390",19933,20396,0,"Requires improvement"
"233",2015-02-24,"Good","For-profit","1-236309305",18814,NA,1,"Good"
"234",2015-02-25,"Good","For-profit","1-119183359",18602,NA,1,"Good"
"235",2015-02-25,"Good","For-profit","1-120024595",18631,NA,1,"Good"
"236",2015-02-25,"Requires improvement","For-profit","1-1555582255",19964,20481,0,"Requires improvement"
"237",2015-02-25,"Good","For-profit","1-285231364",18742,NA,1,"Good"
"238",2015-02-25,"Good","Local Authority","1-325293525",18946,NA,1,"Good"
"239",2015-02-26,"Good","For-profit","1-124702725",18637,NA,1,"Good"
"240",2015-02-26,"Requires improvement","For-profit","1-134638765",18722,NA,0,"Requires improvement"
"241",2015-02-26,"Inadequate","For-profit","1-594305875",19390,20495,0,"Inadequate"
"242",2015-02-27,"Good","For-profit","1-1013578241",19649,20990,1,"Good"
"243",2015-02-27,"Requires improvement","For-profit","1-1033729347",19677,20888,0,"Requires improvement"
"244",2015-02-27,"Good","For-profit","1-326347690",18938,21037,1,"Good"
"245",2015-03-02,"Good","Third sector","1-483042791",19299,21420,1,"Good"
"246",2015-03-03,"Good","Third sector","1-1050178780",19666,20885,1,"Good"
"247",2015-03-03,"Inadequate","For-profit","1-112848964",19024,NA,0,"Inadequate"
"248",2015-03-03,"Good","For-profit","1-126242816",18591,NA,1,"Good"
"249",2015-03-04,"Good","For-profit","1-1691600759",19999,20313,1,"Good"
"250",2015-03-04,"Good","For-profit","1-312116849",18924,21480,1,"Good"
"251",2015-03-04,"Requires improvement","For-profit","1-386335612",19085,20180,0,"Requires improvement"
"252",2015-03-04,"Good","Third sector","1-386964372",19053,20461,1,"Good"
"253",2015-03-04,"Good","For-profit","1-485741694",19311,NA,1,"Good"
"254",2015-03-05,"Good","For-profit","1-10000792582",22258,NA,1,"Good"
"255",2015-03-05,"Requires improvement","Local Authority","1-115336964",18634,NA,0,"Requires improvement"
"256",2015-03-05,"Good","For-profit","1-116412737",18599,NA,1,"Good"
"257",2015-03-05,"Good","For-profit","1-120431511",18637,22259,1,"Good"
"258",2015-03-05,"Good","For-profit","1-1559885726",19939,NA,1,"Good"
"259",2015-03-05,"Inadequate","For-profit","1-421698217",19149,21319,0,"Inadequate"
"260",2015-03-05,"Requires improvement","For-profit","1-815165923",19544,NA,0,"Requires improvement"
"261",2015-03-05,"Good","For-profit","1-936044925",19621,NA,1,"Good"
"262",2015-03-06,"Good","For-profit","1-1171804983",19750,20529,1,"Good"
"263",2015-03-06,"Good","For-profit","1-125861781",18673,23722,1,"Good"
"264",2015-03-06,"Requires improvement","For-profit","1-132165311",18617,20222,0,"Requires improvement"
"265",2015-03-06,"Requires improvement","For-profit","1-315202920",18924,23259,0,"Requires improvement"
"266",2015-03-08,"Good","For-profit","1-13233602774",22796,NA,1,"Good"
"267",2015-03-08,"Good","For-profit","1-400494034",19079,22796,1,"Good"
"268",2015-03-09,"Good","For-profit","1-1179705679",19733,NA,1,"Good"
"269",2015-03-09,"Requires improvement","For-profit","1-11860593101",22683,NA,0,"Requires improvement"
"270",2015-03-09,"Good","Third sector","1-121516941",18665,21012,1,"Good"
"271",2015-03-09,"Good","For-profit","1-148457965",18604,NA,1,"Good"
"272",2015-03-09,"Requires improvement","For-profit","1-161632904",18653,22683,0,"Requires improvement"
"273",2015-03-09,"Good","For-profit","1-713607035",19498,22109,1,"Good"
"274",2015-03-09,"Good","For-profit","1-9200732496",22109,23706,1,"Good"
"275",2015-03-09,"Requires improvement","For-profit","1-975689896",19628,NA,0,"Requires improvement"
"276",2015-03-10,"Good","For-profit","1-1099900269",19704,20760,1,"Good"
"277",2015-03-10,"Good","For-profit","1-1099984147",19702,20290,1,"Good"
"278",2015-03-10,"Good","For-profit","1-126920923",18639,NA,1,"Good"
"279",2015-03-10,"Good","For-profit","1-311080063",19059,21608,1,"Good"
"280",2015-03-10,"Good","For-profit","1-616443507",19422,NA,1,"Good"
"281",2015-03-10,"Good","Third sector","1-693131633",19460,21987,1,"Good"
"282",2015-03-10,"Requires improvement","For-profit","1-837416422",19557,20464,0,"Requires improvement"
"283",2015-03-11,"Requires improvement","For-profit","1-1031162250",19655,NA,0,"Requires improvement"
"284",2015-03-11,"Good","For-profit","1-110543191",18606,NA,1,"Good"
"285",2015-03-11,"Good","For-profit","1-135903368",18606,NA,1,"Good"
"286",2015-03-11,"Good","For-profit","1-287063179",18837,20440,1,"Good"
"287",2015-03-11,"Requires improvement","For-profit","1-846792817",19579,20671,0,"Requires improvement"
"288",2015-03-11,"Requires improvement","For-profit","1-893979318",19597,20464,0,"Requires improvement"
"289",2015-03-12,"Good","For-profit","1-126242558",18591,NA,1,"Good"
"290",2015-03-12,"Good","For-profit","1-137807568",18633,20627,1,"Good"
"291",2015-03-12,"Good","For-profit","1-608074413",19401,21775,1,"Good"
"292",2015-03-12,"Good","For-profit","1-7233586491",21754,NA,1,"Good"
"293",2015-03-12,"Good","For-profit","1-988007021",19633,20216,1,"Good"
"294",2015-03-13,"Good","Third sector","1-135944366",18599,NA,1,"Good"
"295",2015-03-13,"Good","For-profit","1-247322224",18801,22278,1,"Good"
"296",2015-03-13,"Good","Third sector","1-342394451",18959,21074,1,"Good"
"297",2015-03-13,"Good","Third sector","1-385152705",19050,21578,1,"Good"
"298",2015-03-13,"Requires improvement","For-profit","1-472531059",19274,20334,0,"Requires improvement"
"299",2015-03-13,"Good","Third sector","1-630910506",19443,NA,1,"Good"
"300",2015-03-16,"Requires improvement","For-profit","1-115000486",18620,21370,0,"Requires improvement"
"301",2015-03-16,"Good","Local Authority","1-321087684",18940,20808,1,"Good"
"302",2015-03-16,"Requires improvement","For-profit","1-498538661",19295,20446,0,"Requires improvement"
"303",2015-03-18,"Good","Third sector","1-117965394",18618,NA,1,"Good"
"304",2015-03-18,"Good","Local Authority","1-153653680",18655,NA,1,"Good"
"305",2015-03-18,"Requires improvement","For-profit","1-370823914",19044,20401,0,"Requires improvement"
"306",2015-03-19,"Good","For-profit","1-1449748411",19875,20822,1,"Good"
"307",2015-03-19,"Good","Local Authority","1-147685824",18653,NA,1,"Good"
"308",2015-03-19,"Inadequate","For-profit","1-479205669",19262,20768,0,"Inadequate"
"309",2015-03-20,"Requires improvement","For-profit","1-1299164854",19849,NA,0,"Requires improvement"
"310",2015-03-20,"Good","For-profit","1-460146722",19225,21019,1,"Good"
"311",2015-03-20,"Good","Third sector","1-482296639",19263,NA,1,"Good"
"312",2015-03-20,"Good","For-profit","1-846601869",19563,NA,1,"Good"
"313",2015-03-23,"Good","For-profit","1-125539505",18638,22859,1,"Good"
"314",2015-03-23,"Good","For-profit","1-12783305933",22859,NA,1,"Good"
"315",2015-03-23,"Inadequate","For-profit","1-142839179",18652,23496,0,"Inadequate"
"316",2015-03-23,"Requires improvement","For-profit","1-1501227471",19915,20842,0,"Requires improvement"
"317",2015-03-23,"Good","Third sector","1-1644092834",19983,22078,1,"Good"
"318",2015-03-23,"Good","For-profit","1-511628673",19324,21434,1,"Good"
"319",2015-03-24,"Inadequate","For-profit","1-1226964947",19758,20153,0,"Inadequate"
"320",2015-03-24,"Good","For-profit","1-126673076",18592,21137,1,"Good"
"321",2015-03-24,"Requires improvement","For-profit","1-126843877",18605,20296,0,"Requires improvement"
"322",2015-03-24,"Good","Third sector","1-130444894",18648,20633,1,"Good"
"323",2015-03-24,"Inadequate","For-profit","1-1316457190",19815,20599,0,"Inadequate"
"324",2015-03-25,"Good","For-profit","1-1012933568",19646,NA,1,"Good"
"325",2015-03-25,"Inadequate","For-profit","1-1336614479",19835,NA,0,"Inadequate"
"326",2015-03-25,"Good","For-profit","1-138291004",18582,21878,1,"Good"
"327",2015-03-25,"Inadequate","For-profit","1-1449891610",19885,20201,0,"Inadequate"
"328",2015-03-25,"Good","For-profit","1-1903641335",20109,NA,1,"Good"
"329",2015-03-25,"Good","For-profit","1-356438298",19022,21214,1,"Good"
"330",2015-03-25,"Good","For-profit","1-777822709",19547,20282,1,"Good"
"331",2015-03-25,"Good","For-profit","1-828835174",19544,23295,1,"Good"
"332",2015-03-26,"Good","Third sector","1-119792187",18701,NA,1,"Good"
"333",2015-03-26,"Good","For-profit","1-122837065",18596,21241,1,"Good"
"334",2015-03-26,"Good","Third sector","1-124119823",18626,23118,1,"Good"
"335",2015-03-26,"Good","For-profit","1-14179385562",22984,NA,1,"Good"
"336",2015-03-26,"Requires improvement","Third sector","1-155233057",18616,21367,0,"Requires improvement"
"337",2015-03-26,"Good","For-profit","1-262799450",18799,20999,1,"Good"
"338",2015-03-26,"Good","For-profit","1-414490013",19109,22984,1,"Good"
"339",2015-03-27,"Good","Third sector","1-119189386",18688,20432,1,"Good"
"340",2015-03-27,"Good","Local Authority","1-131631183",18625,NA,1,"Good"
"341",2015-03-27,"Requires improvement","For-profit","1-1428451467",19870,NA,0,"Requires improvement"
"342",2015-03-27,"Good","For-profit","1-186730941",18658,23117,1,"Good"
"343",2015-03-28,"Good","For-profit","1-800375423",19554,NA,1,"Good"
"344",2015-03-30,"Requires improvement","For-profit","1-1198513341",19775,21207,0,"Requires improvement"
"345",2015-03-30,"Good","For-profit","1-1200226946",19752,22894,1,"Good"
"346",2015-03-30,"Requires improvement","For-profit","1-1205351842",19750,20619,0,"Requires improvement"
